product_id_num,product_code,image_path
66,S24-1,assets/images/straight_kurti/S24-1.jpeg
66,S24-2,assets/images/straight_kurti/S24-2.jpeg
67,S25,assets/images/straight_kurti/S25.jpeg
67,S25-1,assets/images/straight_kurti/S25-1.jpeg
67,S25-2,assets/images/straight_kurti/S25-2.jpeg
68,S26,assets/images/straight_kurti/S26.jpeg
68,S26-1,assets/images/straight_kurti/S26-1.jpeg
68,S26-2,assets/images/straight_kurti/S26-2.jpeg
69,S27,assets/images/straight_kurti/S27.jpeg
69,S27-1,assets/images/straight_kurti/S27-1.jpeg
69,S27-2,assets/images/straight_kurti/S27-2.jpeg
70,S28,assets/images/straight_kurti/S28.jpeg
70,S28-1,assets/images/straight_kurti/S28-1.jpeg
70,S28-2,assets/images/straight_kurti/S28-2.jpeg
71,S29,assets/images/straight_kurti/S29.jpeg
71,S29-1,assets/images/straight_kurti/S29-1.jpeg
71,S29-2,assets/images/straight_kurti/S29-2.jpeg
72,S30,assets/images/straight_kurti/S30.jpeg
72,S30-1,assets/images/straight_kurti/S30-1.jpeg
73,S31,assets/images/straight_kurti/S31.jpeg
73,S31-1,assets/images/straight_kurti/S31-1.jpeg
73,S31-2,assets/images/straight_kurti/S31-2.jpeg
74,S32,assets/images/straight_kurti/S32.jpeg
74,S32-1,assets/images/straight_kurti/S32-1.jpeg
74,S32-2,assets/images/straight_kurti/S32-2.jpeg
75,S33,assets/images/straight_kurti/S33.jpeg
75,S33-1,assets/images/straight_kurti/S33-1.jpeg
75,S33-2,assets/images/straight_kurti/S33-2.jpeg
76,S34,assets/images/straight_kurti/S34.jpeg
76,S34-1,assets/images/straight_kurti/S34-1.jpeg
76,S34-2,assets/images/straight_kurti/S34-2.jpeg
